unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1593324000,28/6/2020 6:00,ETH/USD,218.61,220.76,218.47,220.23,122439.57,556.43
1593320400,28/6/2020 5:00,ETH/USD,218.64,219.48,218.29,218.61,148104.88,676.57
1593316800,28/6/2020 4:00,ETH/USD,219.19,219.19,217.92,218.64,99690.33,456.01
1593313200,28/6/2020 3:00,ETH/USD,219.34,219.54,217.76,219.19,252143.01,1153.85
1593309600,28/6/2020 2:00,ETH/USD,218.83,219.34,218.45,219.34,47710.15,218.06
1593306000,28/6/2020 1:00,ETH/USD,219.49,220.07,218.67,218.83,179723.74,819.04
1593302400,28/6/2020 0:00,ETH/USD,220.83,220.83,218.77,219.49,403169.97,1837.23
1593298800,27/6/2020 23:00,ETH/USD,219.37,221.74,218.91,220.83,287449.27,1305.4
1593295200,27/6/2020 22:00,ETH/USD,221.63,221.92,219.31,219.37,787174.61,3569.47
1593291600,27/6/2020 21:00,ETH/USD,218.32,222.13,218.32,221.63,584727.8,2666.81
1593288000,27/6/2020 20:00,ETH/USD,217.82,219.96,216.5,218.32,1449602.72,6632.94
1593284400,27/6/2020 19:00,ETH/USD,225.07,225.09,215.79,217.82,2678477.93,12202.46
1593280800,27/6/2020 18:00,ETH/USD,225.02,225.44,224.09,225.07,252999.27,1124.85
1593277200,27/6/2020 17:00,ETH/USD,225.69,226.71,224.32,225.02,717269.98,3185.29
1593273600,27/6/2020 16:00,ETH/USD,227.36,227.73,224.1,225.69,1079632.34,4782.88
1593270000,27/6/2020 15:00,ETH/USD,228.62,228.76,226.04,227.36,803161.69,3532.53
1593266400,27/6/2020 14:00,ETH/USD,229.54,229.54,228,228.62,389499.27,1702.22
1593262800,27/6/2020 13:00,ETH/USD,229.42,230.01,229.19,229.54,55279.35,240.7
1593259200,27/6/2020 12:00,ETH/USD,229.48,229.77,228.99,229.42,69024.82,301.05
1593255600,27/6/2020 11:00,ETH/USD,229.42,230.15,228.89,229.48,139189.23,606.78
1593252000,27/6/2020 10:00,ETH/USD,229.62,230.2,229.09,229.42,133967.51,583.73
1593248400,27/6/2020 9:00,ETH/USD,230.05,230.16,229.19,229.62,85275.66,371.22
1593244800,27/6/2020 8:00,ETH/USD,230.3,231,230.02,230.05,89258.97,387.29
