unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1531530000,14/7/2018 1:00,BCH/USD,694.02,701.38,691.6,691.6,2233.78,3.203
1531526400,14/7/2018 0:00,BCH/USD,692.99,696.97,692.99,694.02,3852.68,5.536
1531522800,13/7/2018 23:00,BCH/USD,694,694,690.27,692.99,10384.22,15
1531519200,13/7/2018 22:00,BCH/USD,697.99,697.99,694,694,1543.06,2.221
1531515600,13/7/2018 21:00,BCH/USD,691.3,697.99,691.3,697.99,9657.01,13.88
1531512000,13/7/2018 20:00,BCH/USD,691.2,695.99,685.5,691.3,19004.86,27.54
1531508400,13/7/2018 19:00,BCH/USD,698.2,698.2,687.11,691.2,90055.71,130.72
1531504800,13/7/2018 18:00,BCH/USD,700.03,710,694.75,698.2,113589.09,160.75
1531501200,13/7/2018 17:00,BCH/USD,699.82,700.03,699,700.03,6505.09,9.294
1531497600,13/7/2018 16:00,BCH/USD,699.42,700.37,698.48,699.82,8520.47,12.19
1531494000,13/7/2018 15:00,BCH/USD,698.98,699.42,697.29,699.42,14980.63,21.44
1531490400,13/7/2018 14:00,BCH/USD,693.5,699.42,693.5,698.98,821.74,1.178
1531486800,13/7/2018 13:00,BCH/USD,702.79,702.79,692,693.5,59327,84.88
1531483200,13/7/2018 12:00,BCH/USD,699.97,705.26,697.8,702.79,35984.46,51.32
1531479600,13/7/2018 11:00,BCH/USD,698.17,699.99,698.17,699.97,5862.87,8.395
1531476000,13/7/2018 10:00,BCH/USD,695.02,698.17,695.02,698.17,30993.94,44.46
1531472400,13/7/2018 9:00,BCH/USD,698.54,698.54,694.1,695.02,43225.11,62.19
1531468800,13/7/2018 8:00,BCH/USD,700.57,701.86,696.01,698.54,15402.32,22.01
1531465200,13/7/2018 7:00,BCH/USD,696.2,700.57,696.2,700.57,19587.63,28.08
1531461600,13/7/2018 6:00,BCH/USD,697.69,697.79,694.7,696.2,10984.81,15.76
1531458000,13/7/2018 5:00,BCH/USD,697.48,697.69,697.48,697.69,10,0.01433
1531454400,13/7/2018 4:00,BCH/USD,700.43,702.59,694.35,697.48,32296.34,46.23
1531450800,13/7/2018 3:00,BCH/USD,702.99,703.98,700.43,700.43,6726.63,9.566
1531447200,13/7/2018 2:00,BCH/USD,698.96,704.69,698.96,702.99,26371.29,37.56
1531443600,13/7/2018 1:00,BCH/USD,697.11,701.96,697.11,698.96,6221.33,8.885
1531440000,13/7/2018 0:00,BCH/USD,685.5,705,685.5,697.11,173904.84,248.73
1531436400,12/7/2018 23:00,BCH/USD,676.6,685.92,662.9,685.5,733889.13,1081.56
1531432800,12/7/2018 22:00,BCH/USD,676.51,677.7,676.37,676.6,73777.43,108.88
1531429200,12/7/2018 21:00,BCH/USD,679,679.36,675,676.51,177375.7,262.65
1531425600,12/7/2018 20:00,BCH/USD,679.98,680,675,679,495145.17,730.23
1531422000,12/7/2018 19:00,BCH/USD,678.98,679.98,671.8,679.98,871988.57,1291.17
1531418400,12/7/2018 18:00,BCH/USD,679.98,680,678.87,678.98,10539.39,15.51
1531414800,12/7/2018 17:00,BCH/USD,680,680,678.74,679.98,25448.65,37.44
1531411200,12/7/2018 16:00,BCH/USD,679.77,680,678.07,680,272420.91,401.17
1531407600,12/7/2018 15:00,BCH/USD,680,680,676.69,679.77,9127.95,13.46
1531404000,12/7/2018 14:00,BCH/USD,680.9,684.82,679.99,680,10296.46,15.14
1531400400,12/7/2018 13:00,BCH/USD,680.99,681.98,677.73,680.9,53547.92,78.75
1531396800,12/7/2018 12:00,BCH/USD,675.4,685,675.4,680.99,145316.91,212.31
1531393200,12/7/2018 11:00,BCH/USD,674.96,679,674.3,675.4,10366.26,15.3
1531389600,12/7/2018 10:00,BCH/USD,679.91,679.99,674.49,674.96,9363.79,13.84
1531386000,12/7/2018 9:00,BCH/USD,679,682.8,677.99,679.91,19588.6,28.82
1531382400,12/7/2018 8:00,BCH/USD,676.14,679.99,673.8,679,128138.19,188.92
1531378800,12/7/2018 7:00,BCH/USD,686.1,686.1,670.4,676.14,248722.72,367.97
1531375200,12/7/2018 6:00,BCH/USD,697.3,700.84,680.2,686.1,400257.59,579.4
1531371600,12/7/2018 5:00,BCH/USD,694.61,697.3,692.76,697.3,4175.12,6.015
1531368000,12/7/2018 4:00,BCH/USD,698.5,698.5,694.61,694.61,61227.75,87.93
1531364400,12/7/2018 3:00,BCH/USD,693.9,698.5,693.9,698.5,18807.98,27
1531360800,12/7/2018 2:00,BCH/USD,696.4,697,692.66,693.9,17788.15,25.62
1531357200,12/7/2018 1:00,BCH/USD,703.6,703.6,696.4,696.4,86310.82,123.64
1531353600,12/7/2018 0:00,BCH/USD,707.4,707.4,702.99,703.6,2283.83,3.238
1531350000,11/7/2018 23:00,BCH/USD,701.44,707.4,701.44,707.4,6632.8,9.434
1531346400,11/7/2018 22:00,BCH/USD,703.22,704.55,701.44,701.44,9680.08,13.77
1531342800,11/7/2018 21:00,BCH/USD,695.82,709.28,694.83,703.22,47010.82,66.76
1531339200,11/7/2018 20:00,BCH/USD,696.39,700,693.69,695.82,28786.62,41.3
1531335600,11/7/2018 19:00,BCH/USD,693.46,700.01,688.9,696.39,741546.69,1069.99
1531332000,11/7/2018 18:00,BCH/USD,695.42,695.42,693.14,693.46,174.78,0.2521
1531328400,11/7/2018 17:00,BCH/USD,692,697.41,692,695.42,21590.95,31.03
1531324800,11/7/2018 16:00,BCH/USD,691.77,696.49,690,692,277811.46,402.44
1531321200,11/7/2018 15:00,BCH/USD,692.99,693.82,691.77,691.77,8472.63,12.23
1531317600,11/7/2018 14:00,BCH/USD,702,702.01,689.43,692.99,43333.01,61.91
1531314000,11/7/2018 13:00,BCH/USD,704.38,706.95,701.87,702,58068.53,82.4
1531310400,11/7/2018 12:00,BCH/USD,706.08,713.27,703.25,704.38,30426.74,42.83
1531306800,11/7/2018 11:00,BCH/USD,694.02,712,693.26,706.08,88305.72,126.12
1531303200,11/7/2018 10:00,BCH/USD,689.72,694.02,689.72,694.02,11306.7,16.33
1531299600,11/7/2018 9:00,BCH/USD,694.91,694.91,688.93,689.72,10834.49,15.69
1531296000,11/7/2018 8:00,BCH/USD,689,694.91,688.71,694.91,74187.13,107.63
1531292400,11/7/2018 7:00,BCH/USD,687.04,692.98,685.73,689,145179.5,210.6
1531288800,11/7/2018 6:00,BCH/USD,686.99,690.9,683.13,687.04,57224.14,83.43
1531285200,11/7/2018 5:00,BCH/USD,695.59,695.59,684,686.99,3966.45,5.79
